"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 26 17:12:11 GMT 2021","Sun Dec 26 17:12:12 GMT 2021","1385","spring-boot","test-1","com.ea.SpringBasic.SpringTestNGTest","com.ea.SpringBasic.SpringTestNGTest","testLogin","This testng test is to validate login","This testng test is to validate login"
"passed","Sun Dec 26 17:12:10 GMT 2021","Sun Dec 26 17:12:11 GMT 2021","1636","spring-boot","test-2","com.ea.SpringBasic.SpringTestNGTestNew","com.ea.SpringBasic.SpringTestNGTestNew","testLogin","This is a new testng test is to validate login","This is a new testng test is to validate login"
