"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Regression Epic","Regression Feature","Regression Story","0","1","0","1","0"
"Smoke Epic","Smoke Feature","Smoke Story","0","1","0","1","0"
