"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jan 28 05:38:40 GMT 2024","Sun Jan 28 05:38:40 GMT 2024","10","spring-boot","test-2","com.qa.feature.SpringTestNGTestNew","com.qa.feature.SpringTestNGTestNew","testLogin","This is a new testng test is to validate login","This is a new testng test is to validate login"
"broken","Sun Jan 28 05:38:40 GMT 2024","Sun Jan 28 05:38:40 GMT 2024","16","spring-boot","test-2","com.qa.feature.SpringTestNGTestNew","com.qa.feature.SpringTestNGTestNew","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
"skipped","Sun Jan 28 05:38:40 GMT 2024","Sun Jan 28 05:38:40 GMT 2024","4","spring-boot","test-1","com.qa.feature.SpringTestNGTest","com.qa.feature.SpringTestNGTest","testLogin","This testng test is to validate login","This testng test is to validate login"
"broken","Sun Jan 28 05:38:40 GMT 2024","Sun Jan 28 05:38:40 GMT 2024","0","spring-boot","test-1","com.qa.feature.SpringTestNGTest","com.qa.feature.SpringTestNGTest","tearDownBrowser","tearDownBrowser",""
"broken","Sun Jan 28 05:38:40 GMT 2024","Sun Jan 28 05:38:40 GMT 2024","0","spring-boot","test-2","com.qa.feature.SpringTestNGTestNew","com.qa.feature.SpringTestNGTestNew","tearDownBrowser","tearDownBrowser",""
"broken","Sun Jan 28 05:38:40 GMT 2024","Sun Jan 28 05:38:40 GMT 2024","1","spring-boot","test-1","com.qa.feature.SpringTestNGTest","com.qa.feature.SpringTestNGTest","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
